# eacl-demo-fixture-v1 cross-language golden vectors
algorithm.id	eacl-demo-fixture
algorithm.version	1
algorithm.seed	20260813
sample.account-8.stream-0.unsigned	7486028538069950133
sample.account-8.stream-0.signed	7486028538069950133
sample.account-8.stream-1.unsigned	13710856897193850775
sample.account-8.stream-1.signed	-4735887176515700841
account-8.server-count	776
id.account-4	account-4
id.account-4.owner	account-4-owner
id.account-4.team-3	account-4-team-3
id.account-4.team-3.leader	account-4-team-3-leader
id.account-4.vpc-1	account-4-vpc-1
id.account-4.vpc-1.admin	account-4-vpc-1-admin
id.account-4.server-15	account-4-server-15
schema.digest	sha256:7fa7ae57dec4e442c66815ea74a63b08f12a79d7e9a716ebc8f1d6b03ee2262c
schema.definitions	6
schema.relations	13
schema.permissions	9
exemplars.digest	sha256:1d144a8031c29057bf553cd832549781233351c40e02d0010c127fd3134a93f2
exemplars.cases	14
small.resources	10000
small.subjects	80
small.relationships	38613
small.records	48693
small.fixture.digest	sha256:ec47ae57973bc7e9c580709410e530a7ac64acd24c01f9e3161489e8ebd58dfd
small.semantic.digest	sha256:3bf7618d9276f6597e529cb064a46f95c97b2db7a4918b4dfde36c318aebd9cb
large.resources	1000000
large.subjects	1585
large.relationships	3872112
large.records	4873697
large.fixture.digest	sha256:102bb7c51779bb66ab343dabff42019af95f99bded708e214b13fd56ab3bf33c
large.semantic.digest	sha256:60d1e2aa531bd20025b2a5fe068657a1b1366c60b265f4ca0cf5bebddf5a3dad
large.prefix-10000.digest	sha256:3bf7618d9276f6597e529cb064a46f95c97b2db7a4918b4dfde36c318aebd9cb
